RecordID,Input,Instruction,Move,dir,amount,RopePiece,x,y
4546,R 7,1315,4,R,7,H,77,61
1068,D 4,470,4,D,4,H,21,25
2987,U 9,923,2,U,9,H,20,-15
1234,U 4,512,1,U,4,T,15,20
1117,L 3,482,1,L,3,T,31,20
4445,D 6,1278,1,D,6,T,76,63
5724,D 9,1636,5,D,9,T,108,55
5229,D 9,1488,3,D,9,H,102,65
5611,D 7,1596,5,D,7,H,94,61
5325,R 3,1514,3,R,3,H,103,66
1461,L 5,575,1,L,5,T,18,43
3998,L 7,1156,1,L,7,H,36,36
6354,D 6,1850,4,D,6,H,132,68
1086,D 6,474,4,D,6,T,23,18
1612,R 5,619,4,R,5,T,25,52
6426,U 13,1872,1,U,1,T,128,85
3678,R 7,1076,7,R,7,H,25,33
5433,D 10,1547,1,D,1,H,88,87
3787,R 9,1103,3,R,9,T,7,35
6653,D 18,1959,1,D,1,T,133,100
547,L 4,293,1,L,4,H,15,20
2743,L 7,871,3,L,7,T,42,18
3339,R 8,1005,6,R,8,T,32,38
3368,R 8,1011,5,R,8,H,32,38
639,U 2,329,1,U,2,H,11,24
4792,L 2,1379,2,L,2,T,66,61
837,D 2,397,1,D,2,T,17,26
348,R 2,212,2,R,2,T,5,20
2947,U 4,914,2,U,4,T,26,-2
235,U 2,149,1,U,2,T,8,13
5407,R 9,1540,8,R,9,H,95,86
6563,R 3,1925,3,R,3,H,137,84
4404,U 13,1265,1,U,1,T,69,61
226,L 3,144,3,L,3,T,6,13
4066,L 6,1173,6,L,6,H,28,32
5791,L 9,1657,7,L,9,T,96,44
2888,L 7,899,6,L,7,T,35,6
2898,L 2,902,2,L,2,T,34,1
191,U 1,127,1,U,1,H,1,16
5772,D 16,1649,1,D,1,T,102,39
3052,L 8,938,2,L,8,H,13,19
6544,R 8,1918,7,R,8,T,141,86
3816,U 9,1108,3,U,9,T,26,37
6395,L 4,1860,2,L,4,T,133,71
61,L 1,44,1,L,1,T,4,10
3117,R 7,949,5,R,7,T,18,16
862,L 4,407,3,L,4,T,18,21
2877,D 9,898,4,D,9,H,40,11
3072,R 6,940,5,R,6,H,12,28
1398,U 6,559,4,U,6,T,25,34
2928,L 4,910,1,L,4,H,20,2
5613,D 7,1596,7,D,7,H,94,59
5049,D 6,1437,1,D,6,T,69,54
3466,R 9,1030,5,R,9,H,14,32
3415,U 7,1022,5,U,7,T,18,30
2043,D 8,717,5,D,8,T,66,54
4698,R 4,1355,3,R,4,H,57,49
432,L 4,245,1,L,4,T,6,14
2711,D 7,865,7,D,7,T,27,23
2524,R 5,823,5,R,5,H,28,18
5806,R 3,1662,1,R,3,H,86,46
3630,D 1,1066,1,D,1,T,23,43
4154,U 9,1194,6,U,9,H,46,50
2575,L 5,837,5,L,5,H,3,36
5164,D 8,1468,2,D,8,T,88,53
6491,D 6,1899,3,D,6,T,139,77
648,D 4,332,4,D,4,H,9,21
1485,D 2,581,2,D,2,H,11,40
5102,D 9,1452,6,D,9,T,76,53
3450,D 9,1027,8,D,9,T,18,33
569,D 4,301,2,D,4,H,17,24
5059,R 3,1440,3,R,3,H,72,47
1861,R 7,677,7,R,7,H,52,71
3481,U 9,1035,2,U,9,H,18,41
2485,U 5,814,5,U,5,T,36,24
2387,D 6,794,2,D,6,H,29,34
2743,L 7,871,3,L,7,H,41,18
5708,D 8,1631,3,D,8,H,105,63
725,D 2,361,1,D,2,H,22,21
1933,L 7,696,4,L,7,T,58,60
5299,U 8,1506,4,U,8,H,101,58
3790,R 9,1103,6,R,9,T,10,35
469,U 4,261,2,U,4,T,7,21
2421,R 7,801,3,R,7,H,28,29
5631,R 14,1600,1,R,1,H,88,67
6474,D 7,1892,4,D,7,H,138,78
3902,L 7,1129,7,L,7,H,20,44
4943,D 9,1412,4,D,9,H,50,55
1036,D 3,460,3,D,3,T,21,30
2640,U 2,851,2,U,2,T,21,38
4257,D 8,1219,8,D,8,T,73,63
6318,D 9,1838,4,D,9,T,139,68
4977,U 8,1419,6,U,8,T,42,58
5296,U 8,1506,1,U,8,T,101,54
3199,U 2,975,1,U,2,H,13,22
294,U 1,180,1,U,1,T,3,18
297,U 1,182,1,U,1,H,4,19
262,U 3,162,2,U,3,H,9,17
1262,R 6,520,5,R,6,T,25,22
662,U 3,338,2,U,3,T,5,30
2122,L 6,734,6,L,6,H,61,55
5225,L 13,1486,1,L,1,H,101,68
4541,D 13,1313,1,D,1,T,75,62
4426,R 4,1270,1,R,4,T,76,64
1090,R 2,475,2,R,2,H,25,15
4079,U 5,1177,1,U,5,H,27,32
5121,U 1,1458,1,U,1,T,74,50
1360,D 4,547,3,D,4,T,31,28
4234,D 5,1216,3,D,5,T,66,67
1968,R 8,702,5,R,8,T,50,55
6227,R 13,1807,1,R,1,T,147,72
264,R 1,163,1,R,1,H,10,18
3106,D 4,947,1,D,4,T,13,17
2971,L 7,918,7,L,7,H,21,-12
283,U 3,174,1,U,3,T,6,17
3139,R 7,958,1,R,7,T,12,21
6598,D 16,1939,1,D,1,H,149,85
6217,R 8,1805,3,R,8,H,145,72
2899,U 6,903,1,U,6,H,33,2
4303,D 6,1234,2,D,6,H,68,77
3845,U 3,1113,1,U,3,H,32,41
3419,D 8,1023,2,D,8,T,18,32
159,D 1,112,1,D,1,T,2,22
1434,L 5,568,1,L,5,T,29,41
4606,L 9,1327,7,L,9,H,71,45
6701,R 10,1980,1,R,1,H,135,98
3884,L 4,1125,1,L,4,H,28,44
6166,U 8,1782,4,U,8,H,146,72
5239,L 3,1492,1,L,3,T,102,60
3011,U 5,928,4,U,5,T,22,2
5572,R 9,1587,1,R,9,H,83,65
5988,U 17,1722,1,U,1,H,139,51
2286,R 8,775,2,R,8,H,34,40
5691,U 15,1623,1,U,1,T,98,63
1414,D 5,564,1,D,5,H,25,35
6707,L 3,1984,3,L,3,T,132,98
2992,U 9,923,7,U,9,T,20,-11
1147,U 6,489,5,U,6,H,30,25
4195,U 9,1204,7,U,9,T,62,66
670,D 3,341,3,D,3,T,5,30
3982,D 6,1151,6,D,6,T,29,34
6179,D 2,1786,2,D,2,H,142,71
1100,U 5,478,3,U,5,H,26,18
2197,D 1,755,1,D,1,T,66,47
1766,U 5,655,3,U,5,T,53,50
6212,R 12,1802,1,R,1,T,143,73
194,D 3,128,3,D,3,T,1,14
6232,U 6,1808,5,U,6,T,147,76
289,U 1,177,1,U,1,H,5,18
1093,L 3,476,3,L,3,H,22,15
3899,L 7,1129,4,L,7,T,24,44
2918,D 7,907,1,D,7,H,22,8
3251,R 9,987,4,R,9,H,21,18
1708,R 7,642,4,R,7,H,46,54
3978,D 6,1151,2,D,6,T,29,38
4254,D 8,1219,5,D,8,H,73,65
5091,R 5,1450,1,R,5,H,72,57
3633,L 7,1068,1,L,7,T,25,42
2630,D 6,848,4,D,6,H,19,35
5264,L 6,1497,6,L,6,T,98,61
282,L 1,173,1,L,1,H,6,16
2912,L 7,906,2,L,7,T,28,9
6038,U 7,1736,6,U,7,T,155,48
5098,D 9,1452,2,D,9,H,76,56
5885,D 2,1693,2,D,2,T,114,48
718,R 5,356,5,R,5,H,21,21
2504,L 8,818,5,L,8,T,33,18
169,D 2,117,1,D,2,H,2,19
5773,U 6,1650,1,U,6,T,102,39
4191,U 9,1204,3,U,9,H,62,63
1019,R 6,456,1,R,6,T,15,30
3725,L 10,1091,1,L,1,H,16,43
1546,R 7,599,7,R,7,T,12,37
4207,L 9,1206,9,L,9,T,55,69
846,L 3,400,3,L,3,H,15,23
1695,L 6,639,3,L,6,H,50,53
3588,L 6,1060,5,L,6,T,11,34
2774,D 6,876,4,D,6,H,31,25
1318,D 1,535,1,D,1,H,28,28
4696,R 4,1355,1,R,4,H,55,49
5327,R 3,1516,1,R,3,T,103,67
4307,D 6,1234,6,D,6,T,68,74
983,D 4,447,1,D,4,H,3,38
6140,R 15,1771,1,R,1,T,151,59
4124,U 7,1187,7,U,7,T,45,44
1123,U 4,484,3,U,4,T,29,23
4459,D 7,1283,5,D,7,H,75,54
5116,R 5,1455,5,R,5,T,75,50
1199,U 3,502,1,U,3,T,20,21
5482,R 8,1565,1,R,8,H,87,69
6313,D 7,1836,7,D,7,T,139,71
459,R 2,257,1,R,2,H,4,19
5296,U 8,1506,1,U,8,H,101,55
5994,R 7,1723,6,R,7,H,145,51
1905,D 6,690,1,D,6,H,61,64
1118,L 3,482,2,L,3,T,30,21
857,D 4,406,2,D,4,T,19,24
2757,R 3,873,1,R,3,T,37,26
2049,U 7,718,3,U,7,H,66,53
372,D 3,225,2,D,3,T,11,17
6293,U 7,1832,1,U,7,T,134,70
3119,R 7,949,7,R,7,H,21,16
5423,R 6,1543,5,R,6,T,91,87
3386,D 8,1018,3,D,8,H,32,36
6495,U 2,1900,1,U,2,H,139,74
1867,L 4,681,1,L,4,T,51,68
537,U 3,290,1,U,3,H,12,21
2057,D 7,719,4,D,7,T,66,54
1127,D 5,486,2,D,5,T,29,24
3004,U 8,926,6,U,8,H,22,-2
2400,L 9,795,9,L,9,T,21,30
860,L 4,407,1,L,4,T,20,22
2199,L 2,756,2,L,2,T,64,46
642,L 3,331,1,L,3,T,11,24
6180,L 2,1787,1,L,2,T,142,72
3716,U 7,1087,4,U,7,H,14,42
1732,U 5,648,2,U,5,T,45,50
179,D 2,121,1,D,2,H,1,20
4618,L 7,1331,3,L,7,T,69,50
6689,L 12,1976,1,L,1,T,134,105
4055,R 4,1170,3,R,4,H,34,29
221,D 2,142,2,D,2,H,8,11
2632,D 6,848,6,D,6,H,19,33
791,R 1,381,1,R,1,H,19,16
2788,U 3,879,2,U,3,H,36,30
6211,L 4,1801,4,L,4,H,142,73
2493,D 7,817,1,D,7,T,36,25
3317,R 3,1001,2,R,3,T,34,34
827,L 4,394,1,L,4,H,17,24
1431,U 6,567,4,U,6,H,29,40
2753,U 9,872,6,U,9,T,37,23
4138,L 7,1192,2,L,7,H,46,44
2870,L 9,895,8,L,9,H,42,16
3596,U 8,1061,7,U,8,T,9,40
5162,R 8,1467,8,R,8,H,88,54
5652,U 6,1605,1,U,6,T,88,60
4871,U 6,1392,5,U,6,T,59,65
3927,R 9,1136,4,R,9,T,27,33
3202,D 8,976,2,D,8,T,13,22
4847,L 7,1388,4,L,7,T,66,62
5358,U 14,1524,1,U,1,H,96,66
5195,U 8,1476,3,U,8,T,96,56
5339,L 6,1518,3,L,6,T,104,60
2333,R 6,783,3,R,6,T,35,39
2018,U 8,712,2,U,8,H,62,54
161,R 3,114,1,R,3,H,2,23
4780,U 5,1374,4,U,5,H,67,65
3451,D 9,1027,9,D,9,T,18,32
2667,D 8,858,2,D,8,T,21,37
4789,D 6,1377,6,D,6,T,67,61
2038,R 2,716,2,R,2,T,65,58
6553,L 9,1920,7,L,9,T,137,85
290,L 3,178,1,L,3,T,5,18
1272,U 3,522,3,U,3,H,27,19
6070,U 3,1748,3,U,3,H,156,42
1300,U 6,530,5,U,6,H,25,17
3083,D 4,942,2,D,4,T,5,27
429,D 3,244,1,D,3,T,6,15
1161,R 5,492,3,R,5,T,26,22
931,D 5,433,2,D,5,H,21,32
1812,U 7,664,5,U,7,H,48,62
1183,D 2,498,1,D,2,H,25,24
4117,R 10,1186,1,R,1,H,45,38
6420,L 10,1868,1,L,1,T,127,83
2365,L 5,789,4,L,5,H,26,25
4144,R 5,1193,1,R,5,T,42,44
1985,U 8,704,8,U,8,T,54,56
915,U 5,426,5,U,5,H,24,29
190,D 1,126,1,D,1,T,0,16
6532,U 8,1917,3,U,8,H,135,81
204,U 3,133,1,U,3,T,5,10
1622,U 7,622,2,U,7,T,29,48
6487,U 5,1898,4,U,5,T,139,77
3100,U 2,945,1,U,2,H,10,16
2060,D 7,719,7,D,7,H,66,50
4181,R 8,1203,1,R,8,T,54,59
6605,L 7,1943,4,L,7,H,147,86
405,R 2,234,2,R,2,T,3,17
6338,L 3,1846,2,L,3,H,132,62
2258,R 4,769,2,R,4,H,48,44
1584,L 2,611,2,L,2,H,28,42
3232,L 3,982,2,L,3,H,16,18
44,U 2,32,1,U,2,H,6,8
4695,U 11,1354,1,U,1,H,54,49
6212,R 12,1802,1,R,1,H,143,73
2528,L 6,825,3,L,6,H,25,19
566,U 2,300,1,U,2,T,16,25
4380,R 11,1259,1,R,1,H,68,68
4599,D 11,1326,1,D,1,H,78,45
1098,U 5,478,1,U,5,H,26,16
5511,L 9,1571,6,L,9,T,89,61
5112,R 5,1455,1,R,5,H,72,50
6471,D 7,1892,1,D,7,H,138,81
5989,R 7,1723,1,R,7,T,139,51
6565,D 3,1926,2,D,3,T,137,83
5383,L 9,1532,7,L,9,T,91,77
3225,R 6,980,3,R,6,H,15,20
1312,U 6,534,1,U,6,H,28,24
3061,U 9,939,3,U,9,T,7,21
996,R 3,450,1,R,3,T,8,38
2696,R 8,862,8,R,8,T,22,33
947,D 5,438,1,D,5,T,18,36
4350,D 6,1247,6,D,6,T,70,65
2628,D 6,848,2,D,6,H,19,37
5702,R 1,1627,1,R,1,H,106,66
6460,R 5,1889,4,R,5,T,137,90
873,L 3,410,1,L,3,H,20,17
6517,L 4,1909,3,L,4,T,138,76
4427,R 4,1270,2,R,4,H,78,65
2260,R 4,769,4,R,4,T,49,44
4857,R 6,1390,6,R,6,T,67,61
314,D 3,192,2,D,3,T,1,18
1954,L 8,700,1,L,8,H,53,53
3695,U 6,1081,3,U,6,T,15,33
3591,U 8,1061,2,U,8,H,9,36
1761,D 4,653,3,D,4,H,52,49
3673,R 7,1076,2,R,7,H,20,33
5437,D 8,1550,2,D,8,T,88,86
6016,R 9,1732,1,R,9,T,151,45
3202,D 8,976,2,D,8,H,13,21
2422,R 7,801,4,R,7,H,29,29
5332,D 7,1517,3,D,7,H,106,64
5662,D 5,1609,2,D,5,T,89,65
3923,D 4,1135,4,D,4,T,24,34
2352,L 6,786,6,L,6,T,30,33
3345,U 6,1008,2,U,6,T,34,40
2022,U 8,712,6,U,8,T,62,57
6258,L 9,1823,1,L,9,H,149,79
3943,U 8,1140,3,U,8,H,26,35
5044,L 12,1435,1,L,1,H,66,54
4144,R 5,1193,1,R,5,H,42,44
786,L 3,379,2,L,3,T,20,13
2082,R 3,725,1,R,3,H,63,61
3974,D 2,1149,1,D,2,H,29,39
2843,R 9,890,9,R,9,H,45,28
6045,D 9,1738,5,D,9,T,156,46
293,D 1,179,1,D,1,H,2,17
2352,L 6,786,6,L,6,H,29,33
2727,D 7,867,7,D,7,H,36,15
5196,U 8,1476,4,U,8,H,96,58
420,L 3,241,1,L,3,T,4,14
3013,R 2,929,1,R,2,T,22,3
6566,D 3,1926,3,D,3,T,137,82
2509,U 2,819,2,U,2,H,29,20
6501,U 11,1905,1,U,1,H,138,75
6243,L 16,1815,1,L,1,H,149,72
2454,L 7,807,4,L,7,H,34,24
6533,U 8,1917,4,U,8,H,135,82
4524,U 12,1307,1,U,1,H,74,56
590,U 3,310,2,U,3,H,16,26
4833,D 8,1385,5,D,8,H,63,64
4024,R 8,1162,2,R,8,T,25,38
4742,D 7,1365,5,D,7,T,64,55
6135,U 5,1770,1,U,5,H,151,56
5846,U 8,1683,1,U,8,T,96,53
5700,U 2,1626,1,U,2,H,105,65
1188,L 5,500,1,L,5,H,24,26
2435,D 3,803,3,D,3,H,32,33
4767,U 5,1369,2,U,5,H,68,55
4543,R 7,1315,1,R,7,H,74,61
3059,U 9,939,1,U,9,T,8,19
4705,U 9,1357,5,U,9,T,58,52
3257,U 8,988,1,U,8,T,25,18
2074,L 2,723,2,L,2,T,63,54
4186,R 8,1203,6,R,8,H,60,60
1814,U 7,664,7,U,7,H,48,64
1933,L 7,696,4,L,7,H,57,60
1990,R 7,707,1,R,7,H,53,57
5575,R 9,1587,4,R,9,H,86,65
4565,D 5,1319,3,D,5,H,84,53
2010,U 1,710,1,U,1,T,61,57
5826,U 8,1671,6,U,8,T,91,50
4856,R 6,1390,5,R,6,H,67,61
6586,R 7,1934,7,R,7,H,141,85
2204,L 8,758,2,L,8,T,62,49
3443,D 9,1027,1,D,9,H,18,39
3462,R 9,1030,1,R,9,H,10,32
5223,L 4,1484,4,L,4,H,101,68
2620,R 8,846,5,R,8,T,15,36
6080,D 11,1750,1,D,1,T,148,42
771,R 2,374,2,R,2,T,25,15
4799,U 8,1380,7,U,8,T,65,67
378,D 3,227,1,D,3,T,7,15
3924,R 9,1136,1,R,9,T,24,34
5715,R 3,1633,1,R,3,T,105,59
1381,U 6,553,5,U,6,H,24,29
4667,R 4,1343,4,R,4,H,53,52
1298,U 6,530,3,U,6,H,25,15
3331,L 9,1004,7,L,9,H,29,38
2477,R 9,812,8,R,9,H,35,22
6048,D 9,1738,8,D,9,H,156,42
5967,U 8,1717,6,U,8,H,128,53
4454,L 1,1282,1,L,1,H,75,59
4671,D 5,1344,4,D,5,H,53,48
1444,L 6,571,1,L,6,H,24,38
4828,L 6,1384,6,L,6,H,63,69
906,R 2,423,1,R,2,H,21,23
1904,U 2,689,2,U,2,H,61,65
6516,L 4,1909,2,L,4,H,138,76
1845,U 6,675,5,U,6,T,53,69
2891,R 2,900,2,R,2,T,34,6
6725,U 7,1992,2,U,7,H,138,99
6253,R 16,1818,1,R,1,H,150,79
2633,U 4,849,1,U,4,H,19,34
3418,D 8,1023,1,D,8,H,18,32
245,U 2,153,2,U,2,H,11,16
5384,L 9,1532,8,L,9,H,89,77
5226,R 13,1487,1,R,1,H,102,68
4786,D 6,1377,3,D,6,H,67,63
4280,U 4,1226,3,U,4,T,69,66
1771,D 3,656,3,D,3,T,53,51
4015,L 8,1160,4,L,8,H,28,41
6585,R 7,1934,6,R,7,T,139,85
3925,R 9,1136,2,R,9,T,25,33
76,L 1,54,1,L,1,H,4,10
2293,D 6,776,1,D,6,H,40,39
3995,U 5,1154,5,U,5,T,35,35
3168,L 1,966,1,L,1,H,19,17
6677,D 19,1972,1,D,1,H,142,103
6616,L 6,1946,6,L,6,T,140,87
6001,R 6,1728,2,R,6,T,146,52
2986,U 9,923,1,U,9,H,20,-16
1462,L 5,575,2,L,5,T,17,42
5645,D 8,1603,8,D,8,H,83,60
1836,R 5,674,1,R,5,T,49,65
6524,L 3,1913,1,L,3,T,138,76
1153,L 6,491,1,L,6,T,30,23
2265,L 6,770,5,L,6,H,45,44
2507,L 8,818,8,L,8,T,30,18
3025,U 7,932,3,U,7,H,21,12
1354,R 4,546,1,R,4,H,28,30
5753,L 8,1643,3,L,8,T,110,48
346,D 2,211,2,D,2,H,4,20
2851,R 6,893,2,R,6,H,46,23
3663,D 9,1074,6,D,9,H,18,31
2530,L 6,825,5,L,6,H,23,19
4957,D 4,1414,2,D,4,T,50,56
5447,U 3,1553,2,U,3,H,87,80
1758,R 7,652,7,R,7,H,52,52
6665,U 2,1963,2,U,2,T,143,99
6590,R 8,1937,2,R,8,T,142,85
6082,L 2,1752,1,L,2,T,147,42
6688,U 2,1975,2,U,2,H,134,106
3505,L 9,1039,1,L,9,T,23,40
3597,U 8,1061,8,U,8,H,9,42
2945,D 3,913,3,D,3,T,26,-2
5334,D 7,1517,5,D,7,H,106,62
4270,U 4,1224,3,U,4,H,75,63
5742,R 6,1641,5,R,6,T,110,55
2523,R 5,823,4,R,5,T,26,18
1428,U 6,567,1,U,6,H,29,37
5409,U 10,1541,1,U,1,T,95,86
4629,L 9,1334,1,L,9,T,65,46
2377,R 6,791,2,R,6,T,26,34
4664,R 4,1343,1,R,4,H,50,52
5704,U 11,1629,1,U,1,T,105,65
2782,R 5,878,1,R,5,H,32,28
2464,L 6,809,6,L,6,H,25,25
3453,L 9,1029,1,L,9,T,18,32
6514,U 15,1908,1,U,1,H,140,76
6312,D 7,1836,6,D,7,H,139,71
1419,U 5,565,1,U,5,H,25,32
4984,R 9,1420,5,R,9,T,46,61
3670,U 5,1075,4,U,5,H,18,32
2402,R 6,796,2,R,6,H,22,30
2629,D 6,848,3,D,6,H,19,36
5110,L 5,1454,4,L,5,T,73,50
5313,U 9,1512,1,U,9,H,101,58
3475,U 6,1033,3,U,6,H,17,36
6122,R 7,1765,5,R,7,H,148,56
4970,U 10,1417,1,U,1,H,42,54
113,L 2,79,2,L,2,T,6,8
2756,U 9,872,9,U,9,H,37,27
1370,D 2,550,2,D,2,T,26,25
1722,L 1,645,1,L,1,T,49,55
3367,R 8,1011,4,R,8,T,30,38
2296,D 6,776,4,D,6,H,40,36
4772,U 3,1371,1,U,3,H,67,59
4579,U 13,1322,1,U,1,T,78,47
4370,L 3,1256,2,L,3,T,68,61
1074,R 6,471,6,R,6,H,27,25
2050,U 7,718,4,U,7,H,66,54
2892,D 5,901,1,D,5,T,34,6
2746,L 7,871,6,L,7,H,38,18
5518,R 7,1572,4,R,7,T,88,61
246,L 3,154,1,L,3,T,11,15
5744,D 7,1642,1,D,7,H,112,54
2973,D 6,920,1,D,6,H,21,-12
2168,L 3,747,2,L,3,H,70,42
6401,U 3,1862,3,U,3,H,131,74
5157,R 8,1467,3,R,8,T,82,54
672,R 3,342,2,R,3,T,6,29
500,D 2,272,1,D,2,H,12,20
6168,U 8,1782,6,U,8,T,146,73
6047,D 9,1738,7,D,9,H,156,43
4973,U 8,1419,2,U,8,T,42,54
386,D 3,229,2,D,3,T,2,11
5302,U 8,1506,7,U,8,T,101,60
1666,R 7,633,2,R,7,H,44,60
2314,U 5,779,1,U,5,H,41,35
4731,U 6,1361,6,U,6,H,62,61
6199,U 12,1798,1,U,1,H,140,73
1343,U 3,543,1,U,3,T,28,33
203,D 1,132,1,D,1,H,6,9
1024,R 6,456,6,R,6,H,21,29
1450,U 7,572,1,U,7,H,19,39
5953,D 7,1715,5,D,7,T,122,50
5839,R 4,1679,4,R,4,H,93,54
2935,R 9,912,2,R,9,T,18,0
4841,R 6,1387,4,R,6,H,67,62
1735,U 5,648,5,U,5,T,45,53
4020,D 3,1161,1,D,3,H,24,40
6123,R 7,1765,6,R,7,H,149,56
2550,U 9,832,5,U,9,T,19,32
3649,L 4,1071,1,L,4,H,18,35
351,D 3,214,2,D,3,T,5,19
5469,L 5,1563,1,L,5,H,90,77
2833,D 9,889,8,D,9,H,36,29
3241,D 4,984,4,D,4,H,19,14
2478,R 9,812,9,R,9,T,35,22
2882,D 9,898,9,D,9,T,40,7
1420,U 5,565,2,U,5,T,25,32
602,U 4,315,4,U,4,T,19,26
1163,R 5,492,5,R,5,T,28,22
2678,L 6,859,5,L,6,H,16,30
4468,U 7,1285,4,U,7,H,78,56
1628,R 5,623,1,R,5,H,30,54
5930,D 6,1707,5,D,6,T,115,50
3283,U 7,994,3,U,7,H,37,26
6569,L 3,1929,1,L,3,T,137,82
5281,R 9,1502,2,R,9,H,98,55
1189,L 5,500,2,L,5,T,24,26
6722,U 18,1990,1,U,1,T,137,97
2095,L 2,729,1,L,2,H,65,56
4083,U 5,1177,5,U,5,T,27,35
2948,U 4,914,3,U,4,H,26,0
1441,D 4,569,3,D,4,H,24,39
5198,U 8,1476,6,U,8,H,96,60
5843,R 4,1681,3,R,4,H,96,53
4442,U 3,1277,1,U,3,T,77,61
1011,R 4,454,2,R,4,T,12,34
2967,L 7,918,3,L,7,T,26,-12
5403,R 9,1540,4,R,9,H,91,86
4259,R 5,1220,2,R,5,H,75,62
4924,D 7,1409,1,D,7,H,51,57
569,D 4,301,2,D,4,T,16,25
3991,U 5,1154,1,U,5,T,35,32
2127,R 5,737,1,R,5,H,60,55
5763,L 2,1646,1,L,2,H,104,45
6364,R 3,1852,1,R,3,H,133,73
4464,R 3,1284,3,R,3,T,77,52
1250,L 3,516,3,L,3,T,20,19
4189,U 9,1204,1,U,9,T,61,60
1435,L 5,568,2,L,5,H,27,42
2741,L 7,871,1,L,7,H,43,18
5521,R 7,1572,7,R,7,H,92,61
